Country Name,WB Code,Region,Income Group,Probability of Survival to Age 5,Expected Years of School,Harmonized Test Scores,Learning-Adjusted Years of School,Fraction of Children Under 5 Not Stunted,Adult Survival Rate,HUMAN CAPITAL INDEX 2020 (LOWER BOUND),HUMAN CAPITAL INDEX 2020,HUMAN CAPITAL INDEX 2020 (UPPER BOUND)
Norway,NOR,Europe & Central Asia,High income,1.00,13.7,514,11.2,-,0.94,0.76,0.77,0.78
Oman,OMN,Middle East & North Africa,High income,0.99,12.8,424,8.6,-,0.91,0.60,0.61,0.62
Pakistan,PAK,South Asia,Lower middle income,0.93,9.4,339,5.1,0.62,0.85,0.39,0.41,0.42
Palau,PLW,East Asia & Pacific,High income,0.98,11.7,463,8.7,-,0.87,0.57,0.59,0.61
Panama,PAN,Latin America & Caribbean,High income,0.98,10.7,377,6.5,-,0.89,0.49,0.50,0.51
Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,0.95,10.3,363,6.0,0.51,0.78,0.41,0.43,0.44
Paraguay,PRY,Latin America & Caribbean,Upper middle income,0.98,11.3,386,7.0,0.94,0.86,0.51,0.53,0.54
Peru,PER,Latin America & Caribbean,Upper middle income,0.99,13.0,415,8.6,0.88,0.89,0.59,0.61,0.62
Philippines,PHL,East Asia & Pacific,Lower middle income,0.97,12.9,362,7.5,0.70,0.82,0.50,0.52,0.53
Poland,POL,Europe & Central Asia,High income,1.00,13.4,530,11.4,-,0.89,0.74,0.75,0.76
Portugal,PRT,Europe & Central Asia,High income,1.00,13.9,509,11.3,-,0.93,0.76,0.77,0.78
Qatar,QAT,Middle East & North Africa,High income,0.99,12.8,427,8.8,-,0.96,0.63,0.64,0.64
Romania,ROU,Europe & Central Asia,High income,0.99,11.8,442,8.4,-,0.88,0.57,0.58,0.60
Russian Federation,RUS,Europe & Central Asia,Upper middle income,0.99,13.7,498,10.9,-,0.80,0.67,0.68,0.69
Rwanda,RWA,Sub-Saharan Africa,Low income,0.96,6.9,358,3.9,0.62,0.81,0.36,0.38,0.39
Samoa,WSM,East Asia & Pacific,Upper middle income,0.98,12.2,370,7.2,0.95,0.89,0.54,0.55,0.56
Saudi Arabia,SAU,Middle East & North Africa,High income,0.99,12.4,399,7.9,-,0.92,0.56,0.58,0.59
Senegal,SEN,Sub-Saharan Africa,Lower middle income,0.96,7.3,412,4.8,0.81,0.83,0.40,0.42,0.43
Serbia,SRB,Europe & Central Asia,Upper middle income,0.99,13.3,457,9.8,0.94,0.89,0.67,0.68,0.69
Seychelles,SYC,Sub-Saharan Africa,High income,0.99,13.1,463,9.7,-,0.85,0.61,0.63,0.66
Sierra Leone,SLE,Sub-Saharan Africa,Low income,0.89,9.6,316,4.9,0.71,0.63,0.35,0.36,0.38
Singapore,SGP,East Asia & Pacific,High income,1.00,13.9,575,12.8,-,0.95,0.87,0.88,0.89
Slovak Republic,SVK,Europe & Central Asia,High income,0.99,12.6,485,9.8,-,0.90,0.66,0.66,0.67
Slovenia,SVN,Europe & Central Asia,High income,1.00,13.6,521,11.4,-,0.93,0.77,0.77,0.78
Solomon Islands,SLB,East Asia & Pacific,Lower middle income,0.98,8.3,351,4.7,0.68,0.86,0.41,0.42,0.43
South Africa,ZAF,Sub-Saharan Africa,Upper middle income,0.97,10.2,343,5.6,0.73,0.69,0.41,0.43,0.44
South Sudan,SSD,Sub-Saharan Africa,Low income,0.90,4.7,336,2.5,0.69,0.68,0.27,0.31,0.33
Spain,ESP,Europe & Central Asia,High income,1.00,13.0,507,10.5,-,0.95,0.72,0.73,0.73
Sri Lanka,LKA,South Asia,Lower middle income,0.99,13.2,400,8.5,0.83,0.90,0.59,0.60,0.60
St. Kitts and Nevis,KNA,Latin America & Caribbean,High income,0.99,13.0,409,8.5,-,0.88,0.57,0.59,0.60
St. Lucia,LCA,Latin America & Caribbean,Upper middle income,0.98,12.7,418,8.5,0.98,0.87,0.59,0.60,0.62
St. Vincent and the Grenadines,VCT,Latin America & Caribbean,Upper middle income,0.98,12.3,391,7.7,-,0.83,0.52,0.53,0.54
Sudan,SDN,Sub-Saharan Africa,Low income,0.94,7.1,380,4.3,0.62,0.79,0.36,0.38,0.39
Sweden,SWE,Europe & Central Asia,High income,1.00,13.9,519,11.6,-,0.95,0.79,0.80,0.81
Switzerland,CHE,Europe & Central Asia,High income,1.00,13.3,515,10.9,-,0.95,0.75,0.76,0.77
Tajikistan,TJK,Europe & Central Asia,Low income,0.97,10.9,391,6.8,0.82,0.87,0.48,0.50,0.53
Tanzania,TZA,Sub-Saharan Africa,Lower middle income,0.95,7.2,388,4.5,0.68,0.78,0.38,0.39,0.40
Thailand,THA,East Asia & Pacific,Upper middle income,0.99,12.7,427,8.7,0.89,0.87,0.60,0.61,0.62
Timor-Leste,TLS,East Asia & Pacific,Lower middle income,0.95,10.6,371,6.3,0.54,0.86,0.43,0.45,0.47
Togo,TGO,Sub-Saharan Africa,Low income,0.93,9.7,384,6.0,0.76,0.74,0.41,0.43,0.45
Tonga,TON,East Asia & Pacific,Upper middle income,0.98,11.6,386,7.1,0.92,0.83,0.51,0.53,0.55
Trinidad and Tobago,TTO,Latin America & Caribbean,High income,0.98,12.4,458,9.1,-,0.85,0.57,0.60,0.62
Tunisia,TUN,Middle East & North Africa,Lower middle income,0.98,10.6,384,6.5,0.92,0.91,0.51,0.52,0.52
Turkey,TUR,Europe & Central Asia,Upper middle income,0.99,12.1,478,9.2,0.94,0.91,0.64,0.65,0.66
Tuvalu,TUV,East Asia & Pacific,Upper middle income,0.98,10.8,346,6.0,-,0.79,0.43,0.45,0.46
Uganda,UGA,Sub-Saharan Africa,Low income,0.95,6.8,397,4.3,0.71,0.74,0.37,0.38,0.40
Ukraine,UKR,Europe & Central Asia,Lower middle income,0.99,12.9,478,9.9,-,0.81,0.62,0.63,0.64
United Arab Emirates,ARE,Middle East & North Africa,High income,0.99,13.5,448,9.6,-,0.94,0.66,0.67,0.68
United Kingdom,GBR,Europe & Central Asia,High income,1.00,13.9,520,11.5,-,0.93,0.77,0.78,0.79
United States,USA,North America,High income,0.99,12.9,512,10.6,-,0.89,0.69,0.70,0.71
Uruguay,URY,Latin America & Caribbean,High income,0.99,12.2,438,8.6,-,0.89,0.59,0.60,0.61
Uzbekistan,UZB,Europe & Central Asia,Lower middle income,0.98,12.0,474,9.1,0.89,0.87,0.60,0.62,0.64
Vanuatu,VUT,East Asia & Pacific,Lower middle income,0.97,10.1,348,5.6,0.71,0.87,0.44,0.45,0.47
Vietnam,VNM,East Asia & Pacific,Lower middle income,0.98,12.9,519,10.7,0.76,0.87,0.67,0.69,0.71
West Bank and Gaza,PSE,Middle East & North Africa,Lower middle income,0.98,12.2,412,8.0,0.93,0.89,0.57,0.58,0.59
"Yemen, Rep.",YEM,Middle East & North Africa,Low income,0.95,8.1,321,4.2,0.54,0.80,0.35,0.37,0.39
Zambia,ZMB,Sub-Saharan Africa,Lower middle income,0.94,8.8,358,5.0,0.65,0.73,0.38,0.40,0.41
Zimbabwe,ZWE,Sub-Saharan Africa,Lower middle income,0.95,11.1,396,7.0,0.77,0.65,0.44,0.47,0.49


































